city,state,county_name,lat,lng,population
Sioux City,Iowa,Woodbury,42.4959,-96.3901,106455
Salisbury,Maryland,Wicomico,38.3756,-75.5867,106447
Davie,Florida,Broward,26.0789,-80.287,106306
Daly City,California,San Mateo,37.6862,-122.4685,106280
Highlands Ranch,Colorado,Douglas,39.5419,-104.9708,105631
Allen,Texas,Collin,33.1088,-96.6735,105623
West Covina,California,Los Angeles,34.0555,-117.9112,105101
Sparks,Nevada,Washoe,39.5729,-119.7157,105006
Wichita Falls,Texas,Wichita,33.9072,-98.5291,104683
San Mateo,California,San Mateo,37.5521,-122.3122,104430
Columbia,Maryland,Howard,39.2004,-76.859,103991
Norwalk,California,Los Angeles,33.9069,-118.0829,103949
Rialto,California,San Bernardino,34.1174,-117.3894,103526
Manteca,California,San Joaquin,37.7927,-121.2264,103420
Arden-Arcade,California,Sacramento,38.6034,-121.381,102864
El Cajon,California,San Diego,32.8017,-116.9605,102708
Burbank,California,Los Angeles,34.1879,-118.3235,102511
Longmont,Colorado,Boulder,40.1686,-105.1005,102474
Renton,Washington,King,47.4784,-122.1919,101751
Vista,California,San Diego,33.1896,-117.2386,101638
Logan,Utah,Cache,41.74,-111.8419,101616
Prescott Valley,Arizona,Yavapai,34.5983,-112.3176,101539
Vacaville,California,Solano,38.359,-121.968,101444
Edinburg,Texas,Hidalgo,26.3197,-98.1596,101170
Carmel,Indiana,Hamilton,39.965,-86.146,101068
Spokane Valley,Washington,Spokane,47.6626,-117.2346,101060
San Angelo,Texas,Tom Green,31.4424,-100.4506,101004
La Crosse,Wisconsin,La Crosse,43.824,-91.2268,100693
Idaho Falls,Idaho,Bonneville,43.4872,-112.0362,100442
Holland,Michigan,Ottawa,42.7677,-86.0985,100432
Charlottesville,Virginia,Charlottesville,38.0375,-78.4855,100416
Longview,Texas,Gregg,32.5193,-94.7621,100330
Tracy,California,San Joaquin,37.7269,-121.4522,100049
Boca Raton,Florida,Palm Beach,26.3752,-80.108,99805
Lafayette,Colorado,Boulder,39.9949,-105.0997,99645
Lee's Summit,Missouri,Jackson,38.9172,-94.3816,99357
Rio Rancho,New Mexico,Sandoval,35.2872,-106.6981,99178
South Fulton,Georgia,Fulton,33.6269,-84.5802,99155
Beaverton,Oregon,Washington,45.4779,-122.8168,99037
Lawrence,Kansas,Douglas,38.9597,-95.2641,98648
